"","housing_median_age","total_rooms","total_bedrooms","households","median_income","median_house_value","ocean_proximity"
"5253",32,8041,1141,1106,11.1978,500001,"<1H OCEAN"
"5254",27,6603,879,868,13.2935,500001,"<1H OCEAN"
"5255",29,4767,777,638,10.7937,500001,"<1H OCEAN"
"5256",40,3351,484,523,8.5153,500001,"<1H OCEAN"
"5257",37,4042,549,542,12.8665,500001,"<1H OCEAN"
"5258",42,2861,360,310,15.0001,500001,"<1H OCEAN"
"5259",36,2929,366,352,13.5728,500001,"<1H OCEAN"
"5260",29,9013,1117,1061,13.947,500001,"<1H OCEAN"
"5261",39,1487,163,160,15,500001,"<1H OCEAN"
"5262",37,5477,833,757,8.1888,500001,"<1H OCEAN"
"5263",45,1814,325,311,4.825,500001,"<1H OCEAN"
"5264",47,1985,315,340,6.5147,500001,"<1H OCEAN"
"5265",14,7970,1142,1096,11.2866,500001,"<1H OCEAN"
"5266",33,6778,1092,1052,8.565,500001,"<1H OCEAN"
"5267",41,1482,239,242,8.8619,500001,"<1H OCEAN"
"5268",34,2095,343,299,8.2934,500001,"<1H OCEAN"
"5269",24,2332,349,325,7.3031,500001,"<1H OCEAN"
"5270",21,3755,525,526,11.4233,500001,"<1H OCEAN"
"5271",35,9075,1858,1724,6.0307,500001,"<1H OCEAN"
"5272",42,993,130,134,10.8082,500001,"<1H OCEAN"
"5273",43,2167,254,256,13.6842,500001,"<1H OCEAN"
"5274",45,1711,264,261,9.1078,500001,"<1H OCEAN"
"5275",40,4350,763,665,7.0318,500001,"<1H OCEAN"
"5276",36,4152,542,550,15.0001,500001,"<1H OCEAN"
"5277",39,2603,456,410,7.9096,500001,"NEAR OCEAN"
"5278",38,4715,691,637,10.1882,500001,"<1H OCEAN"
"5279",45,1271,190,171,7.6447,500001,"<1H OCEAN"
"5280",45,3030,433,399,9.4664,500001,"<1H OCEAN"
"5281",48,3623,528,516,9.5221,500001,"<1H OCEAN"
"5282",42,1918,216,224,15.0001,500001,"<1H OCEAN"
"5283",26,6577,1789,1652,4.801,500001,"<1H OCEAN"
"5284",20,5448,1532,1442,4.2554,500001,"<1H OCEAN"
"5285",25,2689,719,663,3.5909,500001,"<1H OCEAN"
"5286",25,4077,1151,1017,3.7721,337500,"<1H OCEAN"
"5287",21,3639,1002,983,4.6197,387500,"<1H OCEAN"
"5288",22,5215,1193,1121,4.7009,500001,"<1H OCEAN"
"5289",27,4401,1033,962,4.175,500001,"<1H OCEAN"
"5290",36,2143,434,396,6.7496,500001,"<1H OCEAN"
"5291",45,1346,214,209,7.0285,500001,"<1H OCEAN"
"5292",46,1399,148,152,15.0001,500001,"<1H OCEAN"
"5293",34,3203,483,439,10.3467,500001,"<1H OCEAN"
"5294",38,3251,656,593,7.7382,500001,"<1H OCEAN"
"5295",26,3535,748,666,7.1674,500001,"<1H OCEAN"
"5296",35,1973,332,296,8.9565,500001,"<1H OCEAN"
"5297",28,3910,959,867,5.5,500001,"<1H OCEAN"
"5298",21,730,263,224,2.0511,350000,"<1H OCEAN"
"5299",14,520,292,213,2.2857,500001,"<1H OCEAN"
"5300",13,4284,1452,1252,1.3125,350000,"<1H OCEAN"
"5301",19,4845,1609,1539,1.583,350000,"<1H OCEAN"
"5302",20,3367,1264,1131,2.2444,5e+05,"<1H OCEAN"
"5303",46,1302,215,226,7.0674,500001,"<1H OCEAN"
"5304",43,2511,456,407,6.7703,500001,"<1H OCEAN"
"5305",49,2418,301,318,14.2867,500001,"<1H OCEAN"
"5306",42,2564,460,414,9.2225,500001,"<1H OCEAN"
"5307",9,5102,1695,1450,3.2545,500001,"<1H OCEAN"
"5308",18,4780,1192,1036,4.4674,500001,"<1H OCEAN"
"5309",32,1880,435,417,4.7109,5e+05,"<1H OCEAN"
"5310",15,5368,1312,1232,5.7097,316700,"<1H OCEAN"
"5311",11,3184,641,463,7.2675,500001,"<1H OCEAN"
"5312",41,1463,267,267,5.3777,500001,"<1H OCEAN"
"5313",22,4251,1073,881,5.2555,500001,"<1H OCEAN"
"5314",13,4833,1119,807,6.2389,500001,"<1H OCEAN"
"5315",40,2933,565,536,6.1527,500001,"<1H OCEAN"
"5316",31,1317,284,274,7.4219,500001,"<1H OCEAN"
"5317",38,2982,664,572,4.1908,500001,"<1H OCEAN"
"5318",20,4600,1018,932,5.1999,500001,"<1H OCEAN"
"5319",44,533,90,97,10.8045,500001,"<1H OCEAN"
"5320",52,1881,334,321,6.871,500001,"<1H OCEAN"
"5321",38,4888,1126,937,4.8304,500001,"<1H OCEAN"
"5322",52,1693,290,305,6.7115,500001,"<1H OCEAN"
"5323",24,3832,949,893,3.9673,477300,"<1H OCEAN"
"5324",20,5943,1538,1429,4.1141,305000,"<1H OCEAN"
"5325",22,3970,871,791,4.8618,500001,"<1H OCEAN"
"5326",52,2425,435,412,5.8587,494700,"<1H OCEAN"
"5327",28,801,399,406,2.1875,181300,"<1H OCEAN"
"5328",22,3319,1045,940,3.6673,283300,"<1H OCEAN"
"5329",23,3771,1321,1241,2.7679,277500,"<1H OCEAN"
"5330",25,6902,2138,1844,2.6509,410000,"<1H OCEAN"
"5331",23,4099,1287,1217,3.7549,275000,"<1H OCEAN"
"5332",19,3522,1036,977,3.2663,337500,"<1H OCEAN"
"5333",21,5041,1491,1420,3.5335,268800,"<1H OCEAN"
"5334",19,3330,1010,915,3.0173,393800,"<1H OCEAN"
"5335",25,2142,718,699,3.0069,325000,"<1H OCEAN"
"5336",25,2768,850,784,3.6976,360000,"<1H OCEAN"
"5337",17,2729,897,758,3.1235,420800,"<1H OCEAN"
"5338",31,2621,707,673,3.287,348100,"<1H OCEAN"
"5339",21,2819,648,593,3.9489,360200,"<1H OCEAN"
"5340",45,727,168,175,2.6528,3e+05,"<1H OCEAN"
"5341",39,1657,402,363,3.7813,336300,"<1H OCEAN"
"5342",49,32,7,7,2.1875,225000,"<1H OCEAN"
"5343",16,18,6,4,0.536,350000,"<1H OCEAN"
"5344",31,2670,662,631,3.0714,347800,"<1H OCEAN"
"5345",52,1782,308,307,5.2954,485100,"<1H OCEAN"
"5346",46,1508,276,273,4.925,409800,"<1H OCEAN"
"5347",42,2725,569,516,4.5833,427500,"<1H OCEAN"
"5348",16,9728,2211,1899,5.8758,500001,"<1H OCEAN"
"5349",33,2921,652,608,5.0151,500001,"<1H OCEAN"
"5350",52,2533,402,386,7.8164,500001,"<1H OCEAN"
"5351",26,4473,923,805,5.0762,500001,"<1H OCEAN"
"5352",40,2079,268,282,9.272,500001,"<1H OCEAN"
"5353",42,1298,174,190,12.8483,500001,"<1H OCEAN"
"5354",36,1831,296,269,8.1484,500001,"<1H OCEAN"
"5355",33,1730,386,363,3.7277,500001,"<1H OCEAN"
"5356",49,601,95,106,8.0239,500001,"<1H OCEAN"
"5357",35,2458,576,554,4.0283,412500,"<1H OCEAN"
"5358",42,3105,559,531,5.222,500001,"<1H OCEAN"
"5359",34,2113,459,432,3.6953,500001,"<1H OCEAN"
"5360",25,2814,701,658,4.0153,460000,"<1H OCEAN"
"5361",52,1907,261,249,10.9805,500001,"<1H OCEAN"
"5362",52,2113,332,327,11.1768,500001,"<1H OCEAN"
"5363",36,3053,635,577,5.1637,500001,"<1H OCEAN"
"5364",51,1975,348,357,6.626,500001,"<1H OCEAN"
"5365",52,1358,272,267,5.6454,500001,"<1H OCEAN"
"5366",45,2089,312,305,7.3028,500001,"<1H OCEAN"
"5367",44,1873,286,283,5.5951,461300,"<1H OCEAN"
"5368",43,3863,537,511,8.5938,500001,"<1H OCEAN"
"5369",43,1028,145,149,10.4519,500001,"<1H OCEAN"
"5370",42,1467,203,204,6.6368,500001,"<1H OCEAN"
"5371",35,2237,592,543,2.2961,207700,"<1H OCEAN"
"5372",31,2846,727,672,2.7226,254200,"<1H OCEAN"
"5373",45,767,130,118,6.2895,340400,"<1H OCEAN"
"5374",36,3005,771,758,2.0437,309100,"<1H OCEAN"
"5375",39,2614,569,553,3.4063,271600,"<1H OCEAN"
"5376",41,101,23,30,4.125,237500,"<1H OCEAN"
"5377",52,1492,277,289,4.7386,340400,"<1H OCEAN"
"5378",49,1230,279,269,3.9038,308300,"<1H OCEAN"
"5379",28,1722,536,481,3.2228,232500,"<1H OCEAN"
"5380",25,3442,1050,914,3.0574,319400,"<1H OCEAN"
"5381",24,1101,318,287,3.2222,319400,"<1H OCEAN"
"5382",43,1006,201,199,6.5669,372800,"<1H OCEAN"
"5383",26,4376,1394,1250,2.8418,327300,"<1H OCEAN"
"5384",19,7297,2331,2144,3.116,3e+05,"<1H OCEAN"
"5385",27,515,201,228,2.4135,184400,"<1H OCEAN"
"5386",24,3711,1192,1147,3.1642,366700,"<1H OCEAN"
"5387",24,2610,756,692,3.5022,281300,"<1H OCEAN"
"5388",16,5825,1866,1752,3.0965,320000,"<1H OCEAN"
"5389",19,1450,509,437,3.1415,55000,"<1H OCEAN"
"5390",13,6152,1978,1845,3.4058,275000,"<1H OCEAN"
"5391",36,2101,569,527,2.9344,222100,"<1H OCEAN"
"5392",39,1366,375,370,3.7206,230900,"<1H OCEAN"
"5393",43,888,170,161,3.1827,202800,"<1H OCEAN"
"5394",42,1809,424,382,2.767,143000,"<1H OCEAN"
"5395",43,912,255,246,2.6402,185700,"<1H OCEAN"
"5396",25,542,161,131,2.25,333300,"<1H OCEAN"
"5397",43,1465,278,290,4.0781,289400,"<1H OCEAN"
"5398",45,1262,223,221,5.0866,427300,"<1H OCEAN"
"5399",45,1740,311,306,5.2099,373600,"<1H OCEAN"
"5400",39,1733,429,387,3.2308,340800,"<1H OCEAN"
"5401",26,1706,516,435,3.1875,372700,"<1H OCEAN"
"5402",44,904,176,158,3.3542,344200,"<1H OCEAN"
"5403",25,2059,659,588,3.2396,352400,"<1H OCEAN"
"5404",36,1552,388,352,3.6467,346700,"<1H OCEAN"
"5405",37,1193,205,224,3.625,357600,"<1H OCEAN"
"5406",37,975,189,202,4.2434,331000,"<1H OCEAN"
"5407",30,1039,303,274,3.125,343800,"<1H OCEAN"
"5408",41,1240,320,304,3.3482,318100,"<1H OCEAN"
"5409",41,2083,528,481,4.0231,353900,"<1H OCEAN"
"5410",41,1164,265,251,4.2411,350900,"<1H OCEAN"
"5411",37,1592,308,321,6.2583,386000,"<1H OCEAN"
"5412",43,1408,246,240,4.5795,4e+05,"<1H OCEAN"
"5413",41,1309,221,228,5.1708,418800,"<1H OCEAN"
"5414",37,1328,250,228,5.8666,440100,"<1H OCEAN"
"5415",40,1361,240,229,6.3516,354300,"<1H OCEAN"
"5416",36,2424,418,417,6.4755,405800,"<1H OCEAN"
"5417",32,2242,490,461,4.0429,500001,"<1H OCEAN"
"5418",43,1487,242,247,5.3403,489800,"<1H OCEAN"
"5419",39,3278,632,617,6.2917,465700,"<1H OCEAN"
"5420",38,2172,437,368,3.9091,500001,"<1H OCEAN"
"5421",42,1528,244,242,8.1631,500001,"<1H OCEAN"
"5422",41,2403,516,514,4.3906,500001,"<1H OCEAN"
"5423",44,629,131,156,4.5278,374300,"<1H OCEAN"
"5424",20,4374,1311,1185,3.6019,463600,"<1H OCEAN"
"5425",21,3244,815,781,3.6488,340800,"<1H OCEAN"
"5426",34,2243,444,413,4.9676,414100,"<1H OCEAN"
"5427",28,3167,737,665,3.1941,394700,"<1H OCEAN"
"5428",34,2995,942,947,2.2402,450000,"<1H OCEAN"
"5429",34,1430,357,362,3.3462,307000,"<1H OCEAN"
"5430",22,3292,1134,898,3.1746,348800,"<1H OCEAN"
"5431",26,2664,842,789,3.4269,301900,"<1H OCEAN"
"5432",35,1728,442,420,3.725,310000,"<1H OCEAN"
"5433",19,4702,1472,1334,3.3955,225000,"<1H OCEAN"
"5434",27,2224,618,625,3.0833,315500,"<1H OCEAN"
"5435",33,2731,535,510,4.7083,420100,"<1H OCEAN"
"5436",32,1300,356,311,3.5667,394000,"<1H OCEAN"
"5437",27,3133,1021,1002,2.697,412500,"<1H OCEAN"
"5438",41,1527,279,285,6.4232,446600,"<1H OCEAN"
"5439",31,2526,528,504,4.7009,500001,"<1H OCEAN"
"5440",42,2061,396,393,6.0804,420000,"<1H OCEAN"
"5441",44,1462,338,341,2.599,362200,"<1H OCEAN"
"5442",44,1798,353,314,4.75,355800,"<1H OCEAN"
"5443",39,1909,359,345,4.7,334700,"<1H OCEAN"
"5444",40,1287,346,311,3.875,321300,"<1H OCEAN"
"5445",30,2148,597,559,3.3995,324000,"<1H OCEAN"
"5446",22,5822,1707,1585,3.1579,243100,"<1H OCEAN"
"5447",41,1562,377,368,4.1083,324300,"<1H OCEAN"
"5448",42,1594,369,362,3.099,335400,"<1H OCEAN"
"5449",29,1996,489,449,3.6611,344200,"<1H OCEAN"
"5450",31,1930,456,410,3.9798,458600,"<1H OCEAN"
"5451",28,6128,1963,1815,2.7058,310900,"<1H OCEAN"
"5452",43,513,98,103,5.6428,343100,"<1H OCEAN"
"5453",39,4098,1100,1053,2.918,345600,"<1H OCEAN"
"5454",37,388,83,84,5.1664,326700,"<1H OCEAN"
"5455",36,1392,260,247,4.7344,346900,"<1H OCEAN"
"5456",39,711,148,153,4.2813,297200,"<1H OCEAN"
"5457",38,1235,390,376,2.7143,287500,"<1H OCEAN"
"5458",41,2331,636,537,2.288,263500,"<1H OCEAN"
"5459",39,614,174,159,2.3542,235700,"<1H OCEAN"
"5460",34,1875,501,526,2.8417,321400,"<1H OCEAN"
"5461",37,2586,765,737,2.6042,305800,"<1H OCEAN"
"5462",31,1312,376,330,2.0714,3e+05,"<1H OCEAN"
"5463",41,1146,310,270,2.5938,285000,"<1H OCEAN"
"5464",33,854,235,198,2.1471,239300,"<1H OCEAN"
"5465",40,1901,679,587,2.3417,425000,"<1H OCEAN"
"5466",46,2219,686,590,2.5523,387500,"<1H OCEAN"
"5467",50,1568,501,478,3.015,414300,"<1H OCEAN"
"5468",52,1523,447,408,3.0682,412500,"<1H OCEAN"
"5469",52,2167,622,570,2.8514,358700,"<1H OCEAN"
"5470",37,2155,721,637,3.4071,267500,"<1H OCEAN"
"5471",24,1438,454,416,2.975,500001,"<1H OCEAN"
"5472",52,709,329,313,2.2643,350000,"<1H OCEAN"
"5473",52,1010,244,242,4.1861,363200,"<1H OCEAN"
"5474",52,1158,253,253,3.5234,334700,"<1H OCEAN"
"5475",44,1122,287,256,4.0598,335900,"<1H OCEAN"
"5476",44,941,230,206,3.6458,325800,"<1H OCEAN"
"5477",52,888,206,194,3.875,372000,"<1H OCEAN"
"5478",46,1777,362,334,4.45,348300,"<1H OCEAN"
"5479",43,1606,408,354,3.962,345800,"<1H OCEAN"
"5480",48,1923,408,433,4.575,326700,"<1H OCEAN"
"5481",33,3125,785,713,2.9722,325000,"<1H OCEAN"
"5482",52,1829,472,424,3.1607,339000,"<1H OCEAN"
"5483",41,885,285,268,3.1992,303800,"<1H OCEAN"
"5484",37,1828,460,453,4.337,360600,"<1H OCEAN"
"5485",32,2388,591,556,5.2121,466700,"<1H OCEAN"
"5486",35,1214,300,265,4.0156,500001,"<1H OCEAN"
"5487",27,2217,520,458,3.8935,500001,"<1H OCEAN"
"5488",29,2737,808,696,5.128,500001,"<1H OCEAN"
"5489",45,1132,269,264,4.5673,343100,"<1H OCEAN"
"5490",26,1919,405,371,6.0672,420800,"<1H OCEAN"
"5491",19,2520,726,663,3.8068,500001,"<1H OCEAN"
"5492",19,1658,427,378,3.8698,500001,"<1H OCEAN"
"5493",18,9430,2473,2003,6.1726,500001,"<1H OCEAN"
"5494",19,2461,521,447,10,500001,"<1H OCEAN"
"5495",16,895,181,149,12.0088,500001,"<1H OCEAN"
"5496",10,1526,339,268,5.8083,321800,"<1H OCEAN"
"5497",35,684,161,159,2.8393,272000,"<1H OCEAN"
"5498",30,3550,934,880,3.191,271200,"<1H OCEAN"
"5499",18,1307,441,456,2.9338,276300,"<1H OCEAN"
"5500",14,3771,1180,978,3.1603,287500,"<1H OCEAN"
"5501",35,1701,482,494,3.725,284600,"<1H OCEAN"
"5502",35,2243,495,465,4.3281,324000,"<1H OCEAN"
"5503",19,8324,1590,1538,7.5426,351700,"<1H OCEAN"
"5504",45,1899,461,415,2.6667,320000,"<1H OCEAN"
"5505",43,2483,548,493,4.0189,302900,"<1H OCEAN"
"5506",23,5548,1245,1229,4.4228,366900,"<1H OCEAN"
"5507",3,475,155,153,3.6667,450000,"<1H OCEAN"
"5508",42,2558,558,541,4.875,301300,"<1H OCEAN"
"5509",43,1432,308,303,4.3333,303900,"<1H OCEAN"
"5510",39,3014,822,777,1.1985,215000,"<1H OCEAN"
"5511",38,740,171,194,4.0893,248900,"<1H OCEAN"
"5512",35,1724,419,394,4.5521,263800,"<1H OCEAN"
"5513",35,1062,305,307,2.7153,265500,"<1H OCEAN"
"5514",36,1089,234,215,3.6538,276100,"<1H OCEAN"
"5515",39,1613,380,356,2.825,276700,"<1H OCEAN"
"5516",33,3331,777,735,3.9727,307200,"<1H OCEAN"
"5517",38,993,175,180,6.2673,357200,"<1H OCEAN"
"5518",43,2715,458,434,7.4897,362600,"<1H OCEAN"
"5519",44,1097,186,185,6.235,361400,"<1H OCEAN"
"5520",43,2700,510,506,5.1333,345900,"<1H OCEAN"
"5521",46,2198,352,335,6.5778,350800,"<1H OCEAN"
"5522",45,1361,252,263,5.8143,340700,"<1H OCEAN"
"5523",45,1436,374,292,3.625,329400,"<1H OCEAN"
"5524",40,1113,234,231,3.0927,316000,"<1H OCEAN"
"5525",39,303,69,73,4.3438,331800,"<1H OCEAN"
"5526",32,6699,1781,1544,3.3889,285700,"<1H OCEAN"
"5527",37,1629,275,266,6.1333,387200,"<1H OCEAN"
"5528",44,2298,388,360,5.5941,363500,"<1H OCEAN"
"5529",44,1877,314,320,6.8197,363600,"<1H OCEAN"
"5530",44,1802,306,282,6.0286,356000,"<1H OCEAN"
"5531",43,1464,224,232,6.2022,365900,"<1H OCEAN"
"5532",44,2789,503,474,4.6176,352300,"<1H OCEAN"
"5533",44,1462,240,237,4.9375,365200,"<1H OCEAN"
"5534",44,1282,216,209,5.618,365900,"<1H OCEAN"
"5535",38,1104,216,163,6.1985,422000,"<1H OCEAN"
"5536",13,1860,345,355,5.8864,500001,"<1H OCEAN"
"5537",33,2799,491,447,5.6435,500001,"<1H OCEAN"
"5538",20,1901,270,254,8.7819,500001,"<1H OCEAN"
"5539",16,70,7,4,7.7197,500001,"<1H OCEAN"
"5540",24,4393,966,579,5.0714,356100,"<1H OCEAN"
"5541",16,14891,3984,3595,5.1064,283200,"<1H OCEAN"
"5542",35,913,161,172,5.6169,411200,"<1H OCEAN"
"5543",39,714,118,117,5.9856,432100,"<1H OCEAN"
"5544",36,2526,452,441,5.611,456600,"<1H OCEAN"
"5545",38,1089,174,180,7.5953,434800,"<1H OCEAN"
"5546",37,1364,248,242,4.6364,456300,"<1H OCEAN"
"5547",44,2825,453,461,5.9544,377200,"<1H OCEAN"
"5548",43,2416,454,409,5.6732,330700,"<1H OCEAN"
"5549",41,1833,355,348,5.726,287800,"<1H OCEAN"
"5550",42,1859,337,326,6.019,294500,"<1H OCEAN"
"5551",44,2395,458,450,4.6923,299000,"<1H OCEAN"
"5552",35,3259,967,920,3.2708,4e+05,"<1H OCEAN"
"5553",29,1821,588,523,2.5833,187500,"<1H OCEAN"
"5554",5,6955,2062,1566,3.111,247600,"<1H OCEAN"
"5555",44,1138,228,228,4.1852,303300,"<1H OCEAN"
"5556",15,412,128,137,3.9792,266700,"<1H OCEAN"
"5557",32,1044,219,222,4.1471,284400,"<1H OCEAN"
"5558",45,2038,394,387,4.7375,289600,"<1H OCEAN"
"5559",24,3097,791,639,5.723,500001,"<1H OCEAN"
"5560",36,2723,547,519,6.3267,500001,"<1H OCEAN"
"5561",37,2076,332,327,6.2551,500001,"<1H OCEAN"
"5562",37,1761,409,357,2.1875,175900,"<1H OCEAN"
"5563",41,620,133,162,2.6546,159600,"<1H OCEAN"
"5564",42,1273,309,348,4.4636,162000,"<1H OCEAN"
"5565",41,2475,532,470,3.8372,156400,"<1H OCEAN"
"5566",31,2025,618,593,2.4741,151200,"<1H OCEAN"
"5567",23,2503,532,505,2.7368,162800,"<1H OCEAN"
"5568",19,2758,675,591,2.6618,179700,"<1H OCEAN"
"5569",32,2307,493,528,4.317,232800,"<1H OCEAN"
"5570",27,2082,612,548,2.9063,184100,"<1H OCEAN"
"5571",35,2810,614,601,3.59,200600,"<1H OCEAN"
"5572",32,1700,340,317,4.381,238700,"<1H OCEAN"
"5573",35,2016,365,369,5.1727,230200,"<1H OCEAN"
"5574",35,1511,274,308,4.9792,251300,"<1H OCEAN"
"5575",10,1391,420,377,1.9049,222200,"<1H OCEAN"
"5576",5,3559,869,794,2.6491,216700,"<1H OCEAN"
"5577",36,1428,268,250,4.7222,239600,"<1H OCEAN"
"5578",37,1241,226,255,4.9196,232400,"<1H OCEAN"
"5579",38,123,36,40,2.3942,2e+05,"<1H OCEAN"
"5580",31,2693,661,618,3.1851,240200,"<1H OCEAN"
"5581",33,2716,660,661,3.5473,226300,"<1H OCEAN"
"5582",27,2880,802,727,2.9619,223400,"<1H OCEAN"
"5583",35,1499,340,326,2.6136,213600,"<1H OCEAN"
"5584",26,2080,560,506,2.8106,184400,"<1H OCEAN"
"5585",25,2659,765,726,2.6368,175900,"<1H OCEAN"
"5586",17,5544,1068,1038,5.322,282700,"<1H OCEAN"
"5587",27,2790,513,519,5.3106,268300,"<1H OCEAN"
"5588",30,3096,757,704,3.125,233300,"<1H OCEAN"
"5589",35,2793,686,682,3.0057,235300,"<1H OCEAN"
"5590",9,2782,884,748,2.9154,203300,"<1H OCEAN"
"5591",13,3569,924,880,3.163,224200,"<1H OCEAN"
"5592",35,2572,504,519,4.6207,304100,"<1H OCEAN"
"5593",41,2004,481,456,3.1779,171100,"<1H OCEAN"
"5594",36,1697,394,396,3.35,163100,"<1H OCEAN"
"5595",30,1291,230,215,5.5,181500,"<1H OCEAN"
"5596",32,1205,340,370,2.375,128000,"NEAR OCEAN"
"5597",28,636,169,143,3.6161,131300,"NEAR OCEAN"
"5598",26,239,135,112,1.3333,187500,"NEAR OCEAN"
"5599",38,1446,327,319,3.35,177700,"<1H OCEAN"
"5600",36,2218,561,527,3.1613,182300,"<1H OCEAN"
"5601",39,1513,365,354,3.3929,184600,"<1H OCEAN"
"5602",38,1471,329,335,4,165500,"<1H OCEAN"
"5603",28,1895,420,389,4.3816,191300,"<1H OCEAN"
"5604",36,1989,458,455,3.3009,168000,"<1H OCEAN"
"5605",20,2233,591,558,3.2011,169100,"<1H OCEAN"
"5606",10,3708,1016,948,2,165400,"<1H OCEAN"
"5607",16,1867,571,498,3.3427,154200,"<1H OCEAN"
"5608",21,1068,283,274,2.5,157500,"<1H OCEAN"
"5609",8,1115,412,396,3.1392,146200,"<1H OCEAN"
"5610",31,1535,369,340,2.9375,174000,"<1H OCEAN"
"5611",27,1672,491,462,2.0458,174500,"NEAR OCEAN"
"5612",26,2109,651,605,2.1447,158700,"<1H OCEAN"
"5613",39,1417,359,367,2.8462,172000,"<1H OCEAN"
"5614",34,1349,371,380,2.7143,138100,"NEAR OCEAN"
"5615",38,1730,460,424,2.7308,150400,"NEAR OCEAN"
"5616",39,981,286,298,1.9208,139800,"NEAR OCEAN"
"5617",21,2188,706,652,1.9923,164700,"NEAR OCEAN"
"5618",42,1162,264,241,3.5488,205600,"<1H OCEAN"
"5619",20,59,24,23,2.5588,350000,"NEAR OCEAN"
"5620",35,1239,473,387,2.0956,154700,"NEAR OCEAN"
"5621",32,296,139,133,1.4444,182100,"NEAR OCEAN"
"5622",24,574,173,162,2.25,152300,"NEAR OCEAN"
"5623",36,2191,739,692,2.1311,163100,"NEAR OCEAN"
"5624",36,886,253,219,2.4545,164200,"NEAR OCEAN"
"5625",26,2272,694,595,1.9964,150600,"NEAR OCEAN"
"5626",21,3354,1174,1110,2.5262,167300,"<1H OCEAN"
"5627",37,1212,304,293,3.2115,160100,"<1H OCEAN"
"5628",39,1731,485,478,1.5369,141300,"NEAR OCEAN"
"5629",46,22,11,7,3.125,112500,"NEAR OCEAN"
"5630",18,3821,795,769,2.9571,346200,"<1H OCEAN"
"5631",18,9659,1716,1674,5.7764,290500,"<1H OCEAN"
"5632",47,307,69,65,2.9063,146900,"<1H OCEAN"
"5633",41,1305,381,369,2.45,186800,"NEAR OCEAN"
"5634",18,393,189,188,1.8393,187500,"NEAR OCEAN"
"5635",40,1751,512,503,1.5394,2e+05,"NEAR OCEAN"
"5636",21,2442,719,646,1.2276,208300,"NEAR OCEAN"
"5637",16,855,271,250,0.7591,350000,"NEAR OCEAN"
"5638",19,2356,440,418,4.2308,416100,"<1H OCEAN"
"5639",6,6097,1270,1226,5.1269,285200,"<1H OCEAN"
"5640",42,967,175,163,5.6611,265600,"<1H OCEAN"
"5641",48,1958,386,380,4.625,273400,"<1H OCEAN"
"5642",47,2223,410,413,4.4671,270800,"NEAR OCEAN"
"5643",36,2464,472,457,4.5074,350000,"NEAR OCEAN"
"5644",22,5042,974,935,4.3472,351200,"NEAR OCEAN"
"5645",27,1650,443,386,2.5795,192400,"NEAR OCEAN"
"5646",23,1957,517,526,3.5056,203100,"<1H OCEAN"
"5647",37,1319,292,285,2.7031,218900,"NEAR OCEAN"
"5648",29,1503,411,390,2.1473,195300,"NEAR OCEAN"
"5649",52,1438,472,399,2.2188,306700,"NEAR OCEAN"
"5650",41,1382,361,344,2.75,238300,"NEAR OCEAN"
"5651",30,2074,533,531,2.0329,225800,"NEAR OCEAN"
"5652",43,1854,519,486,2.5759,225000,"NEAR OCEAN"
"5653",21,2492,711,672,2.1382,242300,"NEAR OCEAN"
"5654",30,2835,711,652,3.3616,268500,"NEAR OCEAN"
"5655",42,1731,400,403,2.7451,255400,"NEAR OCEAN"
"5656",23,3075,860,806,2.9386,260500,"NEAR OCEAN"
"5657",36,1725,295,306,5.0874,368500,"NEAR OCEAN"
"5658",52,1665,280,282,5.249,351900,"NEAR OCEAN"
"5659",20,2625,673,606,3.9167,285200,"NEAR OCEAN"
"5660",47,2852,603,560,4.194,293900,"NEAR OCEAN"
"5661",52,2025,361,363,4.2059,350000,"NEAR OCEAN"
"5662",44,1853,556,539,1.8584,248100,"NEAR OCEAN"
"5663",39,2602,802,737,2.0469,234500,"NEAR OCEAN"
"5664",52,2085,588,516,2.1935,243200,"NEAR OCEAN"
"5665",45,2137,559,529,1.9167,227200,"NEAR OCEAN"
"5666",30,3161,703,771,2.7139,231700,"NEAR OCEAN"
"5667",25,2469,584,535,3.1932,257500,"NEAR OCEAN"
"5668",28,2647,658,595,3.4474,253400,"NEAR OCEAN"
"5669",28,2510,583,554,3.3397,267800,"NEAR OCEAN"
"5670",40,2582,606,588,3.5694,276400,"NEAR OCEAN"
"5671",52,1642,287,288,4.1812,321500,"NEAR OCEAN"
"5672",26,2711,508,459,4.1451,326700,"NEAR OCEAN"
"5673",41,2168,357,374,4.7216,311900,"NEAR OCEAN"
"5674",33,2265,366,388,5.4533,409800,"NEAR OCEAN"
"5675",25,1099,168,159,7.6886,500001,"NEAR OCEAN"
"5676",25,6191,1081,1023,6.4246,446700,"NEAR OCEAN"
"5677",36,3135,746,697,3.7596,3e+05,"NEAR OCEAN"
"5678",42,1297,246,242,5.3074,401900,"NEAR OCEAN"
"5679",35,2790,522,441,6.2028,361500,"NEAR OCEAN"
"5680",40,1644,471,416,3.1071,464300,"NEAR OCEAN"
"5681",40,1933,475,412,4.25,332800,"NEAR OCEAN"
"5682",31,2809,666,633,4.5606,303800,"NEAR OCEAN"
"5683",39,2651,590,508,3.274,254300,"NEAR OCEAN"
"5684",21,1568,452,422,3.5109,225000,"NEAR OCEAN"
"5685",8,2842,522,510,3.7282,287500,"NEAR OCEAN"
"5686",31,3857,607,572,7.642,396400,"<1H OCEAN"
